,training_loss,testing_loss
547,0.32529068,0.3466092
548,0.32523423,0.34659594
549,0.32525748,0.3465765
550,0.3252254,0.34656414
551,0.32524598,0.3465492
552,0.3252223,0.34653628
553,0.3252355,0.34651572
554,0.3251747,0.3465072
555,0.32518673,0.3464933
556,0.32521716,0.34647852
557,0.32519954,0.34646067
558,0.32520956,0.34644303
559,0.32518205,0.34643674
560,0.32516867,0.34641942
561,0.3251608,0.3464024
562,0.32516235,0.3463885
563,0.32512996,0.3463721
564,0.3251372,0.34635803
565,0.3251274,0.34634733
566,0.3251024,0.34633097
567,0.32509646,0.3463167
568,0.32510734,0.34630403
569,0.32511294,0.3462896
570,0.32508355,0.34628183
571,0.32507125,0.34626734
572,0.3251142,0.34625816
573,0.32508385,0.34623808
574,0.32507658,0.34622797
575,0.3250577,0.34621695
576,0.32506177,0.34620112
577,0.32505283,0.34619227
578,0.32505545,0.34617612
579,0.32503664,0.3461586
580,0.32506678,0.346154
581,0.32503948,0.34613383
582,0.32502824,0.3461233
583,0.32502952,0.3461067
584,0.3250272,0.34609488
585,0.32499138,0.34607884
586,0.32500607,0.34606764
587,0.32498625,0.34605432
588,0.32499057,0.34604496
589,0.32497185,0.34603822
590,0.3249855,0.34602177
591,0.32496393,0.34600616
592,0.32498565,0.3459941
593,0.32498923,0.34597987
594,0.3249951,0.34596363
595,0.32495898,0.345951
596,0.32490972,0.34593812
597,0.32491344,0.34592512
598,0.32488558,0.3459121
599,0.3248843,0.345904
600,0.32488632,0.34589177
601,0.32488328,0.34587997
602,0.32486564,0.34586784
603,0.32486552,0.34585828
604,0.32485756,0.34584877
605,0.32490197,0.34583408
606,0.32489222,0.34582445
607,0.32487798,0.34581015
608,0.3248602,0.345801
609,0.32486483,0.3457869
610,0.32481864,0.34577692
611,0.32484907,0.3457643
612,0.3248219,0.3457529
613,0.32483596,0.34574154
614,0.32483238,0.34572834
615,0.32483143,0.3457178
616,0.32479873,0.34571055
617,0.32482076,0.34569478
618,0.32481474,0.34568515
619,0.32484537,0.34567124
620,0.3248294,0.34565884
621,0.32482547,0.3456448
622,0.3247954,0.34563696
623,0.32478422,0.34562555
624,0.324809,0.34561053
