,training_loss,testing_loss,learning_rate
377,0.013054446,0.013498974,0.001
378,0.013726396,0.014048295,0.001
379,0.015377183,0.015583013,0.001
380,0.017896717,0.018087193,0.001
381,0.016677253,0.016943665,0.001
382,0.012761531,0.013387738,0.001
383,0.012527501,0.013439981,0.001
384,0.012502,0.013269597,0.001
385,0.012653502,0.01318583,0.001
386,0.01371762,0.014017695,0.001
387,0.017759789,0.017909989,0.001
388,0.021893436,0.022095565,0.001
389,0.012439347,0.013295432,0.001
390,0.013571762,0.014856281,0.001
391,0.013247798,0.01368786,0.001
392,0.014834463,0.014955781,0.001
393,0.013657391,0.014018882,0.001
394,0.012779989,0.013282678,0.001
395,0.012739851,0.013236992,0.001
396,0.013144781,0.01353045,0.001
397,0.014148946,0.014421363,0.001
398,0.01712006,0.017355274,0.001
399,0.018933201,0.019205818,0.001
400,0.012784675,0.013381913,0.001
401,0.012944212,0.014083823,0.001
402,0.012468602,0.013338925,0.001
403,0.012848415,0.013255377,0.001
404,0.014965812,0.015196363,0.001
405,0.017642198,0.017885195,0.001
406,0.01618935,0.01652954,0.001
407,0.012508637,0.013110623,0.001
408,0.012219889,0.013054087,0.001
409,0.012256776,0.0130657945,0.001
410,0.012205407,0.012822084,0.001
411,0.012673715,0.01311475,0.001
412,0.015039854,0.015310919,0.001
413,0.022245105,0.022544356,0.001
414,0.0139628425,0.014483158,0.001
415,0.0143192755,0.015734673,0.001
416,0.01259998,0.01319859,0.001
417,0.0146532105,0.014860296,0.001
418,0.012707973,0.013185848,0.001
419,0.012062711,0.012758452,0.001
420,0.01219988,0.012806798,0.001
421,0.013052672,0.0134623675,0.001
422,0.015101517,0.015377518,0.001
423,0.017868055,0.01816124,0.001
424,0.014715761,0.015152751,0.001
425,0.01192641,0.012750473,0.001
426,0.01214913,0.013089663,0.001
427,0.0119626075,0.012693028,0.001
428,0.012430394,0.0129174,0.001
429,0.014235516,0.014561649,0.001
430,0.018982679,0.01923566,0.001
431,0.01745785,0.017832978,0.001
432,0.012029123,0.013025096,0.001
433,0.012631788,0.013774878,0.001
434,0.012243327,0.012835832,0.001
435,0.0142702125,0.014565917,0.001
436,0.014741334,0.015074523,0.001
437,0.013367453,0.0138356695,0.001
438,0.012476431,0.013042568,0.001
439,0.012375987,0.012948754,0.001
440,0.012747641,0.013248037,0.001
441,0.0135845505,0.014022101,0.001
442,0.01560396,0.015999757,0.001
443,0.017436182,0.017822614,0.001
444,0.013802967,0.014352908,0.001
445,0.011687793,0.0125616845,0.001
446,0.011959901,0.012993173,0.001
447,0.011698391,0.012594813,0.001
448,0.011638673,0.012355421,0.001
449,0.012135737,0.012719869,0.001
450,0.015360902,0.015769552,0.001
451,0.02206105,0.022457315,0.001
452,0.011766691,0.012645243,0.001
453,0.013642363,0.01507437,0.001
454,0.012494367,0.013156579,0.001
455,0.013720746,0.01416007,0.001
456,0.011870065,0.012560521,0.001
457,0.011482944,0.012300451,0.001
458,0.011684367,0.012397131,0.001
459,0.0124694435,0.013061025,0.001
460,0.014300913,0.014789277,0.001
461,0.016909776,0.017360926,0.001
462,0.01403027,0.014612263,0.001
463,0.011445834,0.012376023,0.001
464,0.011637829,0.012723283,0.001
465,0.011408736,0.012362176,0.001
466,0.011509479,0.012280676,0.001
467,0.012600569,0.013201862,0.001
468,0.017192367,0.017626252,0.001
469,0.01874818,0.019249264,0.001
470,0.011532739,0.012605043,0.001
471,0.01233141,0.013648695,0.001
472,0.011836198,0.012591547,0.001
473,0.013715628,0.014206554,0.001
474,0.013182399,0.013748257,0.001
475,0.012171516,0.012854688,0.001
476,0.011811511,0.012539677,0.001
477,0.011881703,0.012606635,0.001
478,0.012415149,0.013104469,0.001
479,0.013585771,0.014192209,0.001
480,0.016501836,0.017051328,0.001
481,0.015418814,0.016039737,0.001
482,0.011507553,0.012395903,0.001
483,0.011395802,0.012518357,0.001
484,0.011327285,0.0124245975,0.001
485,0.011147354,0.0121187605,0.001
486,0.011252747,0.012093475,0.001
487,0.012180333,0.012881621,0.001
488,0.018206105,0.018706582,0.001
489,0.017963521,0.018568866,0.001
490,0.012300778,0.013665419,0.001
491,0.011573082,0.0128104715,0.001
492,0.012723407,0.013390395,0.001
493,0.012824463,0.013436919,0.001
494,0.011450726,0.012264936,0.001
495,0.011178533,0.012058474,0.001
496,0.011313357,0.012153324,0.001
497,0.011772168,0.012535969,0.001
498,0.014211306,0.014837074,0.001
499,0.019349573,0.019926343,0.001
500,0.011297822,0.012274784,0.001
501,0.012585978,0.014083131,0.001
502,0.011155777,0.012129176,0.001
503,0.013176982,0.013799851,0.001
504,0.01307783,0.013738316,0.001
505,0.011620924,0.012436922,0.001
506,0.011121032,0.01203319,0.001
507,0.0111529725,0.012047626,0.001
508,0.0115271015,0.0123554645,0.001
509,0.012851343,0.013578678,0.001
510,0.01641585,0.017030379,0.001
511,0.015086792,0.015805846,0.001
512,0.010960478,0.012033525,0.001
513,0.011402146,0.012719759,0.001
514,0.010991118,0.012132457,0.001
515,0.011088234,0.011970402,0.001
516,0.01237624,0.013097365,0.001
517,0.01579691,0.016377944,0.001
518,0.016509373,0.017167898,0.001
519,0.011101655,0.012101573,0.001
520,0.011406815,0.012765198,0.001
521,0.010964141,0.01213261,0.001
522,0.011235833,0.012088013,0.001
523,0.013130269,0.013795168,0.001
524,0.015732579,0.016332705,0.001
525,0.013837834,0.014588619,0.001
526,0.010906694,0.011940617,0.001
527,0.010835682,0.0120393615,0.001
