,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
105,0.07149293,0.07182913,111.4408016204834,115.64217805862427,0.001
106,0.07095049,0.07127167,111.99730634689331,115.83064794540405,0.001
107,0.070658624,0.07099776,112.2362494468689,116.31487607955933,0.001
108,0.070356406,0.07071479,113.14195394515991,117.4012541770935,0.001
109,0.07004645,0.070344925,112.21791505813599,115.95693826675415,0.001
110,0.06984329,0.07017387,113.51547241210938,117.82662868499756,0.001
111,0.06981382,0.07016371,112.79408931732178,117.170250415802,0.001
112,0.069832064,0.07014087,111.10953092575073,115.50850868225098,0.001
113,0.069660835,0.07000062,112.19903230667114,117.15623140335083,0.001
114,0.06950514,0.069829874,112.2797966003418,116.666579246521,0.001
115,0.069036804,0.06933493,111.80192232131958,115.78640937805176,0.001
116,0.06936966,0.06961534,109.38947200775146,113.29452991485596,0.001
117,0.06864084,0.06892325,110.91033220291138,114.99418020248413,0.001
118,0.06876947,0.06906524,110.14552116394043,114.48781490325928,0.001
119,0.06861913,0.068861626,109.81402397155762,113.75900506973267,0.001
120,0.06789365,0.0680999,110.75215339660645,114.54943418502808,0.001
121,0.06728721,0.067447476,111.66325807571411,115.03821611404419,0.001
122,0.067426085,0.067501955,111.03987693786621,114.38174247741699,0.001
123,0.06715422,0.0672264,111.22417449951172,113.53601217269897,0.001
124,0.06661477,0.066686764,112.51757144927979,115.0680661201477,0.001
125,0.06616761,0.0662422,114.04093503952026,116.36430025100708,0.001
126,0.06569309,0.06578187,114.82453346252441,117.21735000610352,0.001
127,0.06571673,0.06580633,114.07324075698853,116.24951362609863,0.001
128,0.065611176,0.06571358,113.68801593780518,115.6287431716919,0.001
129,0.06513679,0.06528436,114.27028179168701,117.2989010810852,0.001
130,0.06500546,0.065160125,114.03075456619263,116.27757549285889,0.001
131,0.06480197,0.06494397,115.54068326950073,116.9582724571228,0.001
132,0.06424597,0.06443517,116.01783037185669,117.80786514282227,0.001
133,0.06432481,0.06450782,113.82248401641846,115.61096906661987,0.001
134,0.06407595,0.0642712,114.31353092193604,116.2876844406128,0.001
135,0.063435495,0.06370184,117.3308253288269,119.61299180984497,0.001
136,0.06378148,0.06400998,114.21529054641724,116.2483811378479,0.001
137,0.06468998,0.06488556,110.94372272491455,112.2606873512268,0.001
138,0.064226225,0.06443905,112.65974044799805,114.59741592407227,0.001
139,0.06430773,0.064517446,111.65562868118286,113.1633996963501,0.001
140,0.06329734,0.06353844,114.29637670516968,116.09412431716919,0.001
141,0.06269431,0.06296163,116.513991355896,118.32137107849121,0.001
142,0.062458783,0.06272985,117.77763366699219,119.47436332702637,0.001
143,0.06245659,0.06268678,116.8189525604248,118.24496984481812,0.001
144,0.062392905,0.06267231,115.30253887176514,117.09564924240112,0.001
145,0.06275471,0.063019834,113.35927248001099,115.32818078994751,0.001
146,0.06289418,0.063160785,112.72979974746704,114.20307159423828,0.001
