,Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
7025,0.8571399999999999,0.8571399999999998,1.0,0.0,1.0,1.57297e-06,-0.00089772
511,0.0,0.428571,1.0,1.0,1.0,1.45149e-06,-2.2891300000000002e-05
8149,1.0,1.0,0.7142850000000001,0.285715,1.0,1.59845e-06,-0.00140639
3126,0.4285733333333333,0.0,0.42857249999999986,0.4285725,0.0,1.5407299999999997e-06,0.000928004
1493,0.14285733333333336,0.428571,0.7142850000000001,0.285715,1.0,1.59845e-06,-8.37422e-05
4528,0.5714266666666667,0.428571,0.42857249999999986,0.0,0.0,1.63826e-06,0.0257325
4263,0.5714266666666667,0.1428570000000001,0.285715,0.4285725,1.0,1.49125e-06,-0.00027367
4055,0.4285733333333333,1.0,0.7142850000000001,0.4285725,1.0,1.6571700000000002e-06,-0.00181428
1939,0.14285733333333336,1.0,0.1428575,0.1428575,1.0,1.4e-06,-0.00374284
5548,0.7142866666666666,0.428571,0.285715,0.8571424999999998,0.0,1.66416e-06,0.00695118
3144,0.4285733333333333,0.0,0.5714274999999999,0.5714275,0.0,1.5636199999999999e-06,0.000853812
542,0.0,0.5714299999999998,0.1428575,1.0,0.0,1.66944e-06,0.00301283
7137,0.8571399999999999,1.0,0.8571424999999999,0.0,1.0,1.7e-06,-0.00442879
5492,0.7142866666666666,0.28571399999999997,1.0,0.285715,0.0,1.7e-06,0.215131
2028,0.14285733333333336,1.0,0.8571424999999999,0.8571424999999998,0.0,1.5636199999999999e-06,0.061279999999999994
5292,0.7142866666666666,0.1428570000000001,0.285715,0.8571424999999998,0.0,1.45149e-06,0.344777
5170,0.7142866666666666,0.0,0.42857249999999986,0.1428575,0.0,1.51558e-06,0.00105546
7854,1.0,0.71429,0.285715,1.0,0.0,1.4636e-06,0.271833
722,0.0,0.71429,0.7142850000000001,0.1428575,0.0,1.4e-06,0.00280985
2498,0.28571399999999997,0.428571,0.5714274999999999,0.1428575,0.0,1.7e-06,0.035116
1690,0.14285733333333336,0.71429,0.1428575,0.7142850000000002,0.0,1.52143e-06,0.0008067139999999999
3047,0.28571399999999997,1.0,0.8571424999999999,0.4285725,1.0,1.66944e-06,-0.00159495
4706,0.5714266666666667,0.5714299999999998,0.8571424999999999,0.1428575,0.0,1.4828399999999998e-06,0.00229005
2418,0.28571399999999997,0.28571399999999997,1.0,0.1428575,0.0,1.6148e-06,0.350539
4522,0.5714266666666667,0.428571,0.285715,0.7142850000000002,0.0,1.63656e-06,0.0101052
2164,0.28571399999999997,0.0,1.0,0.285715,0.0,1.5745300000000001e-06,0.000511916
