,Fill Factor,Pitch,Duty Cycle,Theta,Lambda,Transmission,Mode
10564,0.36,5e-07,0.72,5,1.36e-06,0.00083175,1
15655,0.44,7e-07,0.4,5,1.57e-06,0.00089858,1
5741,0.36,5e-07,0.56,5,1.4e-06,0.000315007,1
22129,0.28,7e-07,0.64,5,1.42e-06,0.121644,1
4843,0.2,5e-07,0.56,5,1.59e-06,5.77e-06,1
1238,0.44,5e-07,0.4,5,1.61e-06,1.15e-05,1
17609,0.36,7e-07,0.48,5,1.68e-06,-6.440000000000001e-05,1
21240,0.6,7e-07,0.56,5,1.6e-06,9.84e-05,1
9749,0.2,5e-07,0.72,5,1.38e-06,0.00027942799999999997,1
10833,0.44,5e-07,0.72,5,1.62e-06,6.22e-05,1
19281,0.2,7e-07,0.56,5,1.51e-06,0.00033604699999999996,1
21349,0.6,7e-07,0.56,5,1.38e-06,0.0131893,1
416,0.28,5e-07,0.4,5,1.66e-06,2.24e-06,1
8496,0.44,5e-07,0.64,5,1.48e-06,0.000139367,1
21212,0.6,7e-07,0.56,5,1.67e-06,-5.67e-05,1
16513,0.6,7e-07,0.4,5,1.45e-06,0.00239807,1
5763,0.36,5e-07,0.56,5,1.36e-06,0.000447784,1
13349,0.44,5e-07,0.8,5,1.38e-06,0.000397415,1
10187,0.28,5e-07,0.72,5,1.32e-06,0.000533277,1
168,0.2,5e-07,0.4,5,1.35e-06,0.000333303,1
13621,0.52,5e-07,0.8,5,1.65e-06,4.61e-05,1
2976,0.28,5e-07,0.48,5,1.34e-06,6.43e-05,1
17336,0.28,7e-07,0.48,5,1.4e-06,0.0195978,1
5373,0.28,5e-07,0.56,5,1.34e-06,0.00036504,1
6580,0.52,5e-07,0.56,5,1.33e-06,0.000526826,1
17245,0.28,7e-07,0.48,5,1.59e-06,-3.73e-05,1
19330,0.2,7e-07,0.56,5,1.42e-06,0.0449255,1
9632,0.2,5e-07,0.72,5,1.62e-06,0.000221015,1
21714,0.2,7e-07,0.64,5,1.45e-06,0.0279378,1
12166,0.2,5e-07,0.8,5,1.35e-06,0.000574526,1
17392,0.28,7e-07,0.48,5,1.31e-06,0.051509400000000004,1
9770,0.2,5e-07,0.72,5,1.35e-06,0.0006604639999999999,1
18534,0.52,7e-07,0.48,5,1.41e-06,0.192476,1
8480,0.44,5e-07,0.64,5,1.51e-06,3.91e-05,1
12943,0.36,5e-07,0.8,5,1.39e-06,0.000467754,1
22067,0.28,7e-07,0.64,5,1.54e-06,0.000273654,1
25227,0.44,7e-07,0.72,5,1.63e-06,0.000400765,1
19697,0.28,7e-07,0.56,5,1.48e-06,0.00103111,1
46,0.2,5e-07,0.4,5,1.59e-06,0.00013321,1
17680,0.36,7e-07,0.48,5,1.51e-06,0.0007149,1
18154,0.44,7e-07,0.48,5,1.37e-06,0.177869,1
24425,0.28,7e-07,0.72,5,1.64e-06,0.000267017,1
13743,0.52,5e-07,0.8,5,1.39e-06,0.000551517,1
3761,0.44,5e-07,0.48,5,1.36e-06,0.00018199400000000002,1
3696,0.44,5e-07,0.48,5,1.48e-06,3.47e-05,1
18021,0.44,7e-07,0.48,5,1.65e-06,0.00021099900000000002,1
3255,0.36,5e-07,0.48,5,1.57e-06,0.000734081,1
8871,0.52,5e-07,0.64,5,1.53e-06,-4.2e-05,1
17243,0.28,7e-07,0.48,5,1.59e-06,-3.05e-05,1
24024,0.2,7e-07,0.72,5,1.64e-06,0.000152746,1
12592,0.28,5e-07,0.8,5,1.31e-06,0.000308923,1
122,0.2,5e-07,0.4,5,1.43e-06,0.00016614,1
1782,0.52,5e-07,0.4,5,1.33e-06,0.00035834,1
14486,0.2,7e-07,0.4,5,1.5e-06,0.000648199,1
18149,0.44,7e-07,0.48,5,1.38e-06,0.24405900000000003,1
8991,0.52,5e-07,0.64,5,1.31e-06,5.16e-05,1
17207,0.28,7e-07,0.48,5,1.68e-06,-6.22e-05,1
6414,0.52,5e-07,0.56,5,1.66e-06,0.00013628799999999998,1
4440,0.6,5e-07,0.48,5,1.6e-06,0.000416396,1
3365,0.36,5e-07,0.48,5,1.35e-06,0.000226343,1
14531,0.2,7e-07,0.4,5,1.41e-06,0.00029037700000000003,1
12162,0.2,5e-07,0.8,5,1.36e-06,0.000525846,1
10111,0.28,5e-07,0.72,5,1.45e-06,2.0300000000000002e-05,1
16041,0.52,7e-07,0.4,5,1.6e-06,0.00012787,1
17354,0.28,7e-07,0.48,5,1.37e-06,0.163477,1
15277,0.36,7e-07,0.4,5,1.52e-06,0.00031434700000000003,1
2856,0.28,5e-07,0.48,5,1.56e-06,0.00059749,1
2426,0.2,5e-07,0.48,5,1.63e-06,0.000245072,1
11744,0.6,5e-07,0.72,5,1.39e-06,0.00034182,1
8473,0.44,5e-07,0.64,5,1.53e-06,0.000101659,1
22480,0.36,7e-07,0.64,5,1.51e-06,0.00109774,1
7754,0.28,5e-07,0.64,5,1.37e-06,0.000328758,1
10039,0.28,5e-07,0.72,5,1.6e-06,0.000141291,1
17298,0.28,7e-07,0.48,5,1.48e-06,3.52e-05,1
88,0.2,5e-07,0.4,5,1.5e-06,0.000577442,1
14175,0.6,5e-07,0.8,5,1.34e-06,0.000298338,1
18545,0.52,7e-07,0.48,5,1.39e-06,0.19661199999999998,1
17687,0.36,7e-07,0.48,5,1.5e-06,0.00044131199999999997,1
12834,0.36,5e-07,0.8,5,1.62e-06,-5.520000000000001e-05,1
24839,0.36,7e-07,0.72,5,1.6e-06,-2.36e-05,1
7230,0.2,5e-07,0.64,5,1.62e-06,-4.39e-05,1
19264,0.2,7e-07,0.56,5,1.55e-06,4.4200000000000004e-05,1
6510,0.52,5e-07,0.56,5,1.45e-06,-3.14e-06,1
12825,0.36,5e-07,0.8,5,1.64e-06,0.000123035,1
423,0.28,5e-07,0.4,5,1.64e-06,0.000111023,1
18899,0.6,7e-07,0.48,5,1.47e-06,0.00410815,1
4193,0.52,5e-07,0.48,5,1.31e-06,0.000458229,1
18526,0.52,7e-07,0.48,5,1.42e-06,0.0934852,1
943,0.36,5e-07,0.4,5,1.39e-06,0.000369827,1
22095,0.28,7e-07,0.64,5,1.48e-06,0.00250252,1
23691,0.6,7e-07,0.64,5,1.49e-06,0.049725,1
23660,0.6,7e-07,0.64,5,1.56e-06,1.58e-05,1
10919,0.44,5e-07,0.72,5,1.44e-06,0.00011285,1
1785,0.52,5e-07,0.4,5,1.32e-06,0.000180063,1
8150,0.36,5e-07,0.64,5,1.38e-06,0.000301439,1
4127,0.52,5e-07,0.48,5,1.42e-06,5.429999999999999e-05,1
860,0.36,5e-07,0.4,5,1.56e-06,0.00062281,1
24962,0.36,7e-07,0.72,5,1.36e-06,0.000497232,1
4147,0.52,5e-07,0.48,5,1.39e-06,7.32e-05,1
11721,0.6,5e-07,0.72,5,1.43e-06,0.00011110200000000001,1
22526,0.36,7e-07,0.64,5,1.42e-06,0.144933,1
20906,0.52,7e-07,0.56,5,1.46e-06,0.0391265,1
11673,0.6,5e-07,0.72,5,1.53e-06,0.000404316,1
10489,0.36,5e-07,0.72,5,1.49e-06,0.000123582,1
9251,0.6,5e-07,0.64,5,1.58e-06,0.00020951099999999998,1
15387,0.36,7e-07,0.4,5,1.32e-06,0.215852,1
22800,0.44,7e-07,0.64,5,1.7e-06,-8.9e-06,1
10903,0.44,5e-07,0.72,5,1.47e-06,-5.88e-06,1
10841,0.44,5e-07,0.72,5,1.6e-06,2.4e-05,1
24047,0.2,7e-07,0.72,5,1.58e-06,0.000165687,1
20049,0.36,7e-07,0.56,5,1.58e-06,0.000909893,1
24175,0.2,7e-07,0.72,5,1.34e-06,0.000492557,1
10565,0.36,5e-07,0.72,5,1.35e-06,0.0008483680000000001,1
13212,0.44,5e-07,0.8,5,1.67e-06,-3.76e-05,1
4178,0.52,5e-07,0.48,5,1.33e-06,0.000275544,1
10152,0.28,5e-07,0.72,5,1.38e-06,0.000395004,1
23245,0.52,7e-07,0.64,5,1.59e-06,0.000164041,1
9711,0.2,5e-07,0.72,5,1.45e-06,5.539999999999999e-05,1
14854,0.28,7e-07,0.4,5,1.57e-06,8.71e-06,1
15735,0.44,7e-07,0.4,5,1.41e-06,0.00613544,1
21636,0.2,7e-07,0.64,5,1.61e-06,0.000439498,1
12564,0.28,5e-07,0.8,5,1.36e-06,0.0006543580000000001,1
2083,0.6,5e-07,0.4,5,1.51e-06,0.00019978599999999997,1
9689,0.2,5e-07,0.72,5,1.49e-06,0.000363561,1
22429,0.36,7e-07,0.64,5,1.63e-06,0.000259972,1
19715,0.28,7e-07,0.56,5,1.44e-06,0.0061278,1
22117,0.28,7e-07,0.64,5,1.44e-06,0.07249889999999999,1
15319,0.36,7e-07,0.4,5,1.44e-06,0.000466622,1
20171,0.36,7e-07,0.56,5,1.34e-06,0.0346461,1
7780,0.28,5e-07,0.64,5,1.33e-06,0.000609132,1
