,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
93,0.111308806,0.11162929,173.03704023361206,180.82587718963623,0.001
94,0.11079075,0.11111787,171.14598751068115,178.65909337997437,0.001
95,0.110347904,0.110685505,169.93274688720703,177.18554735183716,0.001
96,0.10982232,0.11019771,167.91881322860718,174.92867708206177,0.001
97,0.10943037,0.109842055,167.04849004745483,173.53379726409912,0.001
98,0.109198526,0.109626345,167.13072061538696,173.82447719573975,0.001
99,0.10889778,0.109347105,166.12484455108643,172.6435661315918,0.001
100,0.108579606,0.10905018,164.45651054382324,170.80717086791992,0.001
101,0.108264744,0.108756706,162.789785861969,168.87283325195312,0.001
102,0.107986666,0.10850152,162.29798793792725,168.27980279922485,0.001
103,0.1077141,0.10822412,161.70459985733032,167.2666311264038,0.001
104,0.10743844,0.10795898,160.48545837402344,165.65473079681396,0.001
105,0.10720277,0.10771725,160.3030800819397,165.18726348876953,0.001
106,0.10694138,0.10745843,160.1082444190979,165.24927616119385,0.001
107,0.1066427,0.10718066,160.84096431732178,165.86451530456543,0.001
108,0.10641718,0.10694993,159.53787565231323,164.6665334701538,0.001
109,0.10620575,0.10674387,158.9202642440796,163.61793279647827,0.001
110,0.10602004,0.106557034,158.15976858139038,162.8259778022766,0.001
111,0.10578855,0.10632919,157.6619029045105,162.3039722442627,0.001
112,0.10563894,0.10616922,156.6981554031372,161.27029657363892,0.001
113,0.10541333,0.10595397,156.8483829498291,161.45763397216797,0.001
114,0.10515608,0.10568632,156.93424940109253,161.6085410118103,0.001
115,0.10510474,0.10562592,155.30288219451904,159.62297916412354,0.001
116,0.10493655,0.10546057,154.94863986968994,159.16597843170166,0.001
117,0.10473048,0.10528049,154.95595932006836,159.08910036087036,0.001
118,0.10458892,0.1051313,154.44955825805664,158.7365746498108,0.001
119,0.104363866,0.104936205,154.05373573303223,158.66130590438843,0.001
120,0.104144454,0.10472169,153.5887360572815,158.54860544204712,0.001
