Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 9e-07, 0.64, 0.6, 0, 1.67157e-06, 0.121576
5, 9e-07, 0.64, 0.6, 1, 1.44906e-06, -2.82052e-05
5, 9e-07, 0.72, 0.2, 0, 1.66147e-06, 0.204542
5, 9e-07, 0.72, 0.2, 1, 1.60566e-06, -6.34607e-05
5, 9e-07, 0.72, 0.28, 0, 1.66398e-06, 0.193058
5, 9e-07, 0.72, 0.28, 1, 1.57349e-06, -5.32576e-05
5, 9e-07, 0.72, 0.36, 0, 1.66903e-06, 0.161383
5, 9e-07, 0.72, 0.36, 1, 1.58027e-06, -5.05592e-05
5, 9e-07, 0.72, 0.44, 0, 1.67411e-06, 0.14566
5, 9e-07, 0.72, 0.44, 1, 1.45289e-06, -3.63068e-05
5, 9e-07, 0.72, 0.52, 0, 1.6818e-06, 0.123716
5, 9e-07, 0.72, 0.52, 1, 1.46646e-06, -3.23496e-05
5, 9e-07, 0.72, 0.6, 0, 1.7e-06, 0.0966735
5, 9e-07, 0.72, 0.6, 1, 1.43769e-06, -2.75913e-05
5, 9e-07, 0.8, 0.2, 0, 1.6818e-06, 0.137545
5, 9e-07, 0.8, 0.2, 1, 1.62224e-06, -3.08085e-05
5, 9e-07, 0.8, 0.28, 0, 1.69215e-06, 0.119468
5, 9e-07, 0.8, 0.28, 1, 1.62464e-06, -3.01293e-05
5, 9e-07, 0.8, 0.36, 0, 1.7e-06, 0.107093
5, 9e-07, 0.8, 0.36, 1, 1.62704e-06, -2.82616e-05
5, 9e-07, 0.8, 0.44, 0, 1.7e-06, 0.0939735
5, 9e-07, 0.8, 0.44, 1, 1.62946e-06, -2.90911e-05
5, 9e-07, 0.8, 0.52, 0, 1.7e-06, 0.0804036
5, 9e-07, 0.8, 0.52, 1, 1.44146e-06, -2.40795e-05
5, 9e-07, 0.8, 0.6, 0, 1.7e-06, 0.0636211
5, 9e-07, 0.8, 0.6, 1, 1.45097e-06, -1.87424e-05
5, 1.1e-06, 0.4, 0.2, 0, 1.69476e-06, 0.0149019
5, 1.1e-06, 0.4, 0.2, 1, 1.69476e-06, -7.48294e-05
5, 1.1e-06, 0.4, 0.28, 0, 1.7e-06, 0.0117603
5, 1.1e-06, 0.4, 0.28, 1, 1.61985e-06, -0.000200837
5, 1.1e-06, 0.4, 0.36, 0, 1.7e-06, 0.00747362
5, 1.1e-06, 0.4, 0.36, 1, 1.60801e-06, -0.000203746
5, 1.1e-06, 0.4, 0.44, 0, 1.6818e-06, 0.00411939
5, 1.1e-06, 0.4, 0.44, 1, 1.60098e-06, -0.000133582
5, 1.1e-06, 0.4, 0.52, 0, 1.68955e-06, 0.00155112
5, 1.1e-06, 0.4, 0.52, 1, 1.62704e-06, -5.72947e-05
5, 1.1e-06, 0.4, 0.6, 0, 1.3e-06, 0.00085888
5, 1.1e-06, 0.4, 0.6, 1, 1.59171e-06, -4.85838e-05
5, 1.1e-06, 0.48, 0.2, 0, 1.69738e-06, 0.0193305
5, 1.1e-06, 0.48, 0.2, 1, 1.6343e-06, -0.000116007
5, 1.1e-06, 0.48, 0.28, 0, 1.69476e-06, 0.0162308
5, 1.1e-06, 0.48, 0.28, 1, 1.69738e-06, -6.37767e-05
5, 1.1e-06, 0.48, 0.36, 0, 1.69215e-06, 0.0132996
