Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 6.42857e-07, 0.514286, 0.2, 1, 1.56517e-06, -9.63741e-05
5, 6.42857e-07, 0.514286, 0.257143, 0, 1.52584e-06, 0.00134411
5, 6.42857e-07, 0.514286, 0.257143, 1, 1.55285e-06, -0.000148446
5, 6.42857e-07, 0.514286, 0.314286, 0, 1.53325e-06, 0.00117638
5, 6.42857e-07, 0.514286, 0.314286, 1, 1.62143e-06, -0.000149394
5, 6.42857e-07, 0.514286, 0.371429, 0, 1.54073e-06, 0.00140136
5, 6.42857e-07, 0.514286, 0.371429, 1, 1.65891e-06, -0.000168038
5, 6.42857e-07, 0.514286, 0.428571, 0, 1.54828e-06, 0.00120884
5, 6.42857e-07, 0.514286, 0.428571, 1, 1.4e-06, -0.000122069
5, 6.42857e-07, 0.514286, 0.485714, 0, 1.4e-06, 0.00155189
5, 6.42857e-07, 0.514286, 0.485714, 1, 1.44089e-06, -7.63768e-05
5, 6.42857e-07, 0.514286, 0.542857, 0, 1.40874e-06, 0.00128609
5, 6.42857e-07, 0.514286, 0.542857, 1, 1.45684e-06, -4.89817e-05
5, 6.42857e-07, 0.514286, 0.6, 0, 1.4e-06, 0.00335711
5, 6.42857e-07, 0.514286, 0.6, 1, 1.47316e-06, -2.97163e-05
5, 6.42857e-07, 0.571429, 0.2, 0, 1.53923e-06, 0.00136876
5, 6.42857e-07, 0.571429, 0.2, 1, 1.6537e-06, -0.00027074
5, 6.42857e-07, 0.571429, 0.257143, 0, 1.54374e-06, 0.00142888
5, 6.42857e-07, 0.571429, 0.257143, 1, 1.67475e-06, -0.000295966
5, 6.42857e-07, 0.571429, 0.314286, 0, 1.4e-06, 0.00185615
5, 6.42857e-07, 0.571429, 0.314286, 1, 1.65197e-06, -5.54327e-05
5, 6.42857e-07, 0.571429, 0.371429, 0, 1.4e-06, 0.00196165
5, 6.42857e-07, 0.571429, 0.371429, 1, 1.4e-06, -0.000152722
5, 6.42857e-07, 0.571429, 0.428571, 0, 1.40498e-06, 0.00208982
5, 6.42857e-07, 0.571429, 0.428571, 1, 1.6909e-06, -6.25048e-05
5, 6.42857e-07, 0.571429, 0.485714, 0, 1.4e-06, 0.00270878
5, 6.42857e-07, 0.571429, 0.485714, 1, 1.42015e-06, -0.000104006
5, 6.42857e-07, 0.571429, 0.542857, 0, 1.4e-06, 0.0122363
5, 6.42857e-07, 0.571429, 0.542857, 1, 1.42528e-06, -7.05064e-05
